60 75 89 241 255 255 255 255 255 255
45 60 88 227 255 249 255 255 255 255
37 57 78 255 255 222 255 255 255 255
42 73 83 235 255 214 253 255 255 255
50 86 103 129 202 203 217 255 255 255
53 80 107 133 167 193 245 250 255 255
54 80 106 132 153 189 255 238 255 255
48 71 94 115 136 166 191 212 232 249
9 49 78 99 123 150 171 188 251 255
